Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,29.724,20000,Vila Nova Conceição, 295 ,4,2,4
Cobertura,37.850,30000,Vila Madalena, 350 ,3,5,4
Lajes Corporativas,116.370,86000,Jardim América, 789 ,0,12,24
Cobertura,28.825,21000,Moema, 481 ,4,7,5
Apartamento,3.600,3000,Pinheiros, 70 ,2,2,1
Apartamento,29.218,17000,Moema, 287 ,3,5,4
Apartamento,11.400,9000,Jardim Paulista, 150 ,5,5,2
Apartamento,7.690,6500,Pinheiros, 112 ,2,2,0
Salas,8.022,4800,Pinheiros, 115 ,0,2,1
Sobrado,8.401,8000,Água Fria, 360 ,0,5,3
Apartamento,4.871,3800,Itaim Bibi, 108 ,3,2,1
Apartamento,7.305,6000,Itaim Bibi, 116 ,3,3,1
Apartamento,18.600,13000,Jardim Paulista, 400 ,4,5,2
Apartamento,7.824,5000,Perdizes, 130 ,3,4,3
Sobrado,7.225,6500,Santana, 380 ,3,4,2
Apartamento,3.988,2800,Moema, 83 ,2,1,1
Apartamento,21.026,15000,Moema, 275 ,4,5,4
Apartamento,3.275,2500,Lapa, 63 ,2,2,1
Studio,2.675,2250,Bela Vista, 40 ,1,1,1
Apartamento,8.107,5000,Perdizes, 171 ,4,5,3
Apartamento,3.221,1600,Bela Vista, 36 ,1,1,1
Apartamento,3.582,2800,Bela Vista, 40 ,1,1,1
Apartamento,3.490,2600,Consolação, 119 ,2,2,0
Sobrado,21.715,8000,Jardim Marajoara, 510 ,4,4,2
Apartamento,13.700,12000,Jardim Marajoara, 266 ,4,5,4
Apartamento,5.700,4000,Higienópolis, 157 ,3,1,1
Apartamento,3.970,2800,Bela Vista, 38 ,1,1,1
Apartamento,3.172,2200,Santana, 70 ,2,2,1
Apartamento,7.652,6300,Tatuapé, 95 ,3,3,2
Apartamento,10.312,8600,Jardim Paulista, 150 ,2,3,1
Apartamento,2.500,2000,Consolação, 42 ,1,2,1
Casa,30.500,29500,Brooklin, 400 ,3,4,4
Apartamento,1.930,1800,Santana, 44 ,1,1,0
Apartamento,3.601,2350,Bela Vista, 45 ,1,0,1
Condomínio,80.000,80000,Jardim São Bento, 2000 ,5,11,10
Apartamento,6.360,4500,Jardim Paulista, 96 ,3,3,1
Apartamento,5.900,4420,Pinheiros, 55 ,2,1,1
Apartamento,15.779,11000,Jardim Paulista, 150 ,3,2,3
Apartamento,5.357,3800,Pinheiros, 120 ,3,3,1
Salas,2.203,1750,Santana, 35 ,0,2,1
Apartamento,3.273,1800,Jardim São Paulo(zona Norte), 83 ,3,4,2
Sobrado,3.170,3000,Santana, 110 ,2,1,0
Apartamento,11.440,8500,Brooklin, 172 ,3,3,2
Apartamento,3.250,2600,Casa Verde, 49 ,1,1,1
Apartamento,4.113,2500,Santana, 155 ,4,3,1
Apartamento,5.637,4100,Pinheiros, 75 ,2,3,1
Apartamento,6.350,4800,Itaim Bibi, 100 ,3,3,1
Apartamento,6.171,5000,Pinheiros, 85 ,2,2,2
Sobrado,9.100,8000,Tremembé, 1000 ,3,7,8
Apartamento,37.100,31500,Jardim Paulista, 285 ,4,4,3
Sobrado,16.510,13900,Alto De Pinheiros, 525 ,4,9,8
Apartamento,9.635,7000,Pinheiros, 175 ,3,3,1
Apartamento,5.500,4300,Moema, 85 ,2,2,1
Sobrado,41.600,40000,Pinheiros, 947 ,4,2,5
Apartamento,10.580,8500,Moema, 125 ,3,3,2
Apartamento,2.654,2000,Bela Vista, 36 ,1,1,1
Apartamento,2.480,2000,Bela Vista, 35 ,1,1,0
Apartamento,2.714,2250,Bela Vista, 25 ,1,1,0
Apartamento,3.973,2600,Vila Olímpia, 55 ,2,1,1
Apartamento,12.160,8800,Jardim Paulista, 276 ,3,4,1
Apartamento,4.740,3200,Moema, 95 ,3,2,2
Apartamento,3.009,2400,Santana, 44 ,1,1,1
Apartamento,6.430,4500,Pinheiros, 130 ,3,3,1
Apartamento,3.458,2770,Brooklin, 33 ,1,0,1
Apartamento,5.045,3400,Jardim Paulista, 100 ,3,2,1
Apartamento,11.191,9000,Higienópolis, 179 ,4,3,1
Apartamento,7.600,5500,Jardim Paulista, 113 ,3,3,1
Apartamento,15.500,9300,Moema, 236 ,4,4,4
Apartamento,6.356,4000,Santana, 171 ,3,5,2
Apartamento,9.138,7000,Jardim Paulista, 120 ,3,3,2
Apartamento,1.827,1400,Bela Vista, 28 ,1,1,1
Condomínio,1.700,1700,Santana, 36 ,1,1,0
Apartamento,5.417,3500,Santana, 103 ,2,4,2
Salas,3.599,2400,Bela Vista, 30 ,0,1,1
Apartamento,1.620,1100,Bela Vista, 27 ,1,1,1
Sobrado,90.000,80000,Cidade Jardim, 1789 ,4,10,6
Sobrado,4.000,4000,Água Fria, 170 ,0,2,1
Apartamento,1.990,1200,Bela Vista, 50 ,1,1,1
Apartamento,1.822,1250,Jabaquara, 64 ,2,1,1
Salas,8.685,7500,Pinheiros, 80 ,0,2,1
Apartamento,1.496,1000,Centro, 40 ,1,1,0
Apartamento,4.695,2400,Santana, 143 ,3,4,3
Cobertura,14.211,12000,Pinheiros, 133 ,2,2,2
Apartamento,2.750,1900,Vila Prudente, 78 ,2,2,1
Apartamento,16.629,14600,Pinheiros, 132 ,2,2,2
Apartamento,23.730,20000,Jardim Paulista, 310 ,3,4,2
Apartamento,6.365,4350,Perdizes, 135 ,3,4,1
Apartamento,6.100,5000,Perdizes, 110 ,3,2,2
Sobrado,8.500,8500,Jardim São Bento, 460 ,4,5,3
Apartamento,13.999,8500,Jardim Paulista, 184 ,3,4,2
Apartamento,31.342,25000,Paraíso, 296 ,4,6,5
Apartamento,8.400,5700,Jardim Paulista, 184 ,3,4,2
Apartamento,6.289,4800,Moema, 95 ,3,4,2
Apartamento,7.030,5500,Moema, 110 ,3,3,2
Apartamento,4.350,3400,Santana, 76 ,2,2,2
